id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
45826341,Perfect Place,371036931,Roseanna,,Near West Side,41.869,-87.65542,Entire home/apt,151.0,2,62,2025-01-01,1.17,29,208,21,R23000111019,Chicago
45826540,5 min to all Chicago major Attractions,371036931,Roseanna,,Near West Side,41.86881,-87.65693,Entire home/apt,197.0,32,59,2023-09-18,1.15,29,89,0,Registered,Chicago
45826931,"Beautiful 3 bedroom, balcony view of Willis Tower",371036931,Roseanna,,Near West Side,41.86757,-87.65625,Entire home/apt,144.0,4,48,2024-10-17,0.91,29,62,9,R24000113568,Chicago
45827082,Private room  with a distant view of Willis Tower,371036931,Roseanna,,Near West Side,41.86759,-87.65527,Private room,95.0,32,45,2023-08-07,0.9,29,33,0,Registered,Chicago
45846603,MedDistrict 3bed/2bath Entire Floor + Free Laundry,100782278,Chicago Furnished,,Near West Side,41.8785,-87.68194,Entire home/apt,42.0,32,14,2024-09-30,0.27,29,364,2,R12345678901,Chicago
45864022,30 E. Huron #2205 Private Residence,257464365,Kevin,,Near North Side,41.89476,-87.62564,Entire home/apt,102.0,31,5,2024-11-30,0.15,16,46,2,City registration pending,Chicago
45867707,Kafka's Room,73114817,Leonid,,West Garfield Park,41.87316,-87.72808,Private room,63.0,2,69,2025-02-13,1.29,5,362,14,R20000059104,Chicago
45868710,Welcome to the Wrightwood - Chic & Newly Renovated,329789181,Niall & Stefanie,,Logan Square,41.9295,-87.71515,Entire home/apt,576.0,3,63,2024-12-01,1.24,1,269,9,R22000088963,Chicago
45868920,Hemingway's Room,73114817,Leonid,,West Garfield Park,41.87129,-87.72598,Private room,63.0,2,156,2025-03-07,2.91,5,351,35,R20000059104,Chicago
45879182,One-of-a-Kind Apartment In Old Town!,370780197,Donald,,Lincoln Park,41.91203,-87.63634,Entire home/apt,155.0,3,162,2025-03-09,3.04,1,267,35,R20000059103,Chicago
45879824,Spacious & Clean Ukrainian Village 2 Bedroom!,108273415,Catherine,,West Town,41.90015,-87.68286,Entire home/apt,55.0,3,216,2025-03-03,4.06,1,0,35,R21000075044,Chicago
45885253,Alexandre Dumas’ Room,73114817,Leonid,,West Garfield Park,41.87241,-87.72621,Private room,52.0,2,68,2025-03-07,1.3,5,0,26,R20000059104,Chicago
45887585,Woodlawn Oasis: Easy access to Loop/Univ of Chgo,74987375,Henry,,Woodlawn,41.7765,-87.60851,Entire home/apt,103.0,4,12,2025-01-05,0.27,1,0,6,R24000112762,Chicago
45908801,City views,371036931,Roseanna,,Near West Side,41.86769,-87.65726,Private room,70.0,32,58,2023-08-13,1.12,29,184,0,Registered,Chicago
45952602,Cozy 2 bed Pilsen condo,1969829,Michael,,Lower West Side,41.85525,-87.64679,Entire home/apt,108.0,32,4,2024-08-10,0.21,2,345,2,,Chicago
45956460,Cozy Place in The Old Irving Park Area,195149624,Alberto,,Irving Park,41.94333,-87.73052,Entire home/apt,107.0,3,90,2025-03-02,1.96,1,259,19,R21000073139,Chicago
45968904,Beautiful Private Room 5 min to downtown Chicago,371036931,Roseanna,,Near West Side,41.87211,-87.65308,Private room,68.0,2,88,2025-02-24,2.05,29,140,29,R22000092698,Chicago
45969120,"Blueground | Lincoln Park, w/d, patio, nr L",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,183.0,32,2,2021-09-16,0.04,597,323,0,32+days Listing,Chicago
45969134,"Blueground | Lincoln Park, w/d, patio, nr L",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,183.0,32,1,2024-05-18,0.1,597,317,1,32+days Listing,Chicago
45990524,Private Room in Beautiful Apartment,371036931,Roseanna,,Near West Side,41.87023,-87.65157,Private room,69.0,3,64,2024-11-18,1.3,29,133,8,R22000092698,Chicago
45991867,CHICAGO SKYLINE VIEWS,371036931,Roseanna,,Near West Side,41.86751,-87.65739,Entire home/apt,170.0,3,62,2025-01-04,1.18,29,124,17,R24000113568,Chicago
46002551,"Blueground | Lincoln Park, w/d, patio, nr L",107434423,Blueground,,Near North Side,41.9089458,-87.6504842,Entire home/apt,130.0,32,1,2023-09-03,0.05,597,300,0,32+days Listing,Chicago
46036579,Wrigley Roscoe Garden Unit,5960265,Courtney And Garrett,,Lake View,41.94473,-87.65653,Entire home/apt,89.0,14,31,2025-03-04,0.61,2,203,19,R23000105796,Chicago
46037467,Two Bedroom Apartment,233349785,Alejandro,,West Town,41.8949890200915,-87.6582719385624,Entire home/apt,143.0,1,8,2025-02-23,1.44,1,0,8,R24000120833,Chicago
46037709,Matilda’s Place Good Living With Comfort & Style,273076659,Dwight,,Woodlawn,41.77532,-87.60143,Entire home/apt,86.0,32,35,2024-04-02,0.68,2,1,1,City registration pending,Chicago
46050508,"Cozy Family 3BR Oasis: Park, Private Yard, & BBQ!",36904978,Kevin,,Avondale,41.93264,-87.72496,Entire home/apt,149.0,1,63,2024-12-01,1.21,1,0,24,R24000113641,Chicago
46065519,Charming 2BR Retreat in Vibrant Humboldt Park,30482715,Sean,,Humboldt Park,41.90883,-87.73023,Entire home/apt,100.0,3,33,2024-09-23,0.64,5,356,12,R24000119120,Chicago
